,Product_name,Sale price,Actual Price,Ratting,Person Ratting,Offer,No of Ratting,No of Reviews
237,"APPLE iPhone 14 Pro Max (Space Black, 256 GB)","₹1,49,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
238,"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)","₹44,999","₹52,900",4.6,"1,00,548 Ratings & 8,570 Reviews",14% off,"1,00,548"," 8,570 Reviews"
239,"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)","₹39,999","₹47,900",4.6,"1,00,548 Ratings & 8,570 Reviews",16% off,"1,00,548"," 8,570 Reviews"
240,"APPLE iPhone 11 Pro (Midnight Green, 64 GB)","₹98,990","₹1,06,600",4.6,"8,653 Ratings & 630 Reviews",7% off,"8,653", 630 Reviews
241,"APPLE iPhone SE (3rd Gen) (Product (Red), 128 GB)","₹52,990","₹54,900",4.3,577 Ratings & 77 Reviews,3% off,577, 77 Reviews
242,"APPLE iPhone 13 Pro (Alpine Green, 256 GB)","₹1,29,900",Same Price,4.6,"1,286 Ratings & 110 Reviews",No offer this product,"1,286", 110 Reviews
243,"APPLE iPhone 14 Pro (Deep Purple, 512 GB)","₹1,59,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
244,"APPLE iPhone 7 (Silver, 32 GB)","₹24,999","₹31,500",4.5,"95,048 Ratings & 9,197 Reviews",20% off,"95,048"," 9,197 Reviews"
245,"APPLE iPhone 14 Pro Max (Gold, 1 TB)","₹1,89,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
246,"APPLE iPhone XS (Space Grey, 256 GB)","₹1,03,900",Same Price,4.7,"11,963 Ratings & 871 Reviews",No offer this product,"11,963", 871 Reviews
247,"APPLE iPhone 11 Pro Max (Silver, 256 GB)","₹1,31,900",Same Price,4.7,"1,093 Ratings & 99 Reviews",No offer this product,"1,093", 99 Reviews
248,"APPLE iPhone 14 Pro Max (Space Black, 1 TB)","₹1,89,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
249,"APPLE iPhone 14 Pro Max (Deep Purple, 1 TB)","₹1,89,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
250,"APPLE iPhone 6 Plus (Space Grey, 16 GB)","₹39,999","₹62,000",4.5,"1,673 Ratings & 200 Reviews",35% off,"1,673", 200 Reviews
251,"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)","₹43,990","₹54,900",4.5,"1,53,514 Ratings & 12,048 Reviews",19% off,"1,53,514"," 12,048 Reviews"
252,"APPLE iPhone 14 Pro (Space Black, 1 TB)","₹1,79,900",Same Price,4.8,341 Ratings & 29 Reviews,No offer this product,341, 29 Reviews
253,"APPLE iPhone 13 Pro Max (Alpine Green, 128 GB)","₹1,29,900",Same Price,4.6,"1,720 Ratings & 168 Reviews",No offer this product,"1,720", 168 Reviews
254,"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)","₹43,990","₹54,900",4.5,"1,53,514 Ratings & 12,048 Reviews",19% off,"1,53,514"," 12,048 Reviews"
255,"APPLE iPhone 11 Pro Max (Silver, 64 GB)","₹99,990","₹1,17,100",4.7,"1,093 Ratings & 99 Reviews",14% off,"1,093", 99 Reviews
256,"APPLE iPhone 6 Plus (Silver, 128 GB)","₹48,999","₹80,500",4.5,"1,673 Ratings & 200 Reviews",39% off,"1,673", 200 Reviews
257,"APPLE iPhone 12 Pro Max (Gold, 512 GB)","₹1,19,990","₹1,49,900",4.6,"1,253 Ratings & 101 Reviews",19% off,"1,253", 101 Reviews
258,"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","₹29,990","₹39,900",4.5,"1,53,514 Ratings & 12,048 Reviews",24% off,"1,53,514"," 12,048 Reviews"
259,"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)","₹29,990","₹39,900",4.5,"1,53,514 Ratings & 12,048 Reviews",24% off,"1,53,514"," 12,048 Reviews"
260,"APPLE iPhone 14 Pro Max (Gold, 512 GB)","₹1,69,900",Same Price,4.7,283 Ratings & 26 Reviews,No offer this product,283, 26 Reviews
